Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Triceps Rope Pushdown",4,40.0,12,0,0,,,8
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Incline Bench Press (Barbell)",1,105.0,12,0,0,"",,7.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Incline Bench Press (Barbell)",2,105.0,12,0,0,,,7.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Incline Bench Press (Barbell)",3,105.0,12,0,0,,,8.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Incline Bench Press (Barbell)",4,105.0,10,0,0,,,9
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Reverse Grip Triceps Pushdown (EZ Bar)",1,15.0,12,0,0,"",,7.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Reverse Grip Triceps Pushdown (EZ Bar)",2,20.0,10,0,0,,,8
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Reverse Grip Triceps Pushdown (EZ Bar)",3,20.0,10,0,0,,,8.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Reverse Grip Triceps Pushdown (EZ Bar)",4,20.0,10,0,0,,,8.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"High To Low Chest Cable Fly ",1,20.0,15,0,0,"",,
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"High To Low Chest Cable Fly ",2,25.000000000000004,15,0,0,,,8.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"High To Low Chest Cable Fly ",3,25.000000000000004,11,0,0,,,8
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"High To Low Chest Cable Fly ",4,25.000000000000004,11,0,0,,,8.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Bench Dip",1,15.0,17,0,0,"",,7.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Bench Dip",2,15.0,19,0,0,,,8.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Bench Dip",3,15.0,18,0,0,,,8.5
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Push Up",1,0,16,0,0,"",,
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Push Up",2,0,13,0,0,,,
2024-06-05 10:00:50,"Chest/Tris (V1)",1h 27m,"Push Up",3,0,13,0,0,,,
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Bent Over Row (Barbell)",1,115.0,14,0,0,"","",7.5
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Bent Over Row (Barbell)",2,115.0,16,0,0,,,8
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Bent Over Row (Barbell)",3,125.00000000000001,13,0,0,,,8.5
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Bent Over Row (Barbell)",4,135.0,11,0,0,,,9
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Bicep Curl (Dumbbell)",1,25.0,9,0,0,"",,8
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Bicep Curl (Dumbbell)",2,30.0,8,0,0,,,8.5
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Bicep Curl (Dumbbell)",3,30.0,8,0,0,,,8.5
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Bicep Curl (Dumbbell)",4,30.0,9,0,0,,,9.5
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Kneeling Cable Row",1,45.0,14,0,0,"",,8
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Kneeling Cable Row",2,45.0,14,0,0,,,8
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Kneeling Cable Row",3,50.0,14,0,0,,,8
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Kneeling Cable Row",4,50.0,16,0,0,,,8.5
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Hammer Curl (Cable)",1,40.0,12,0,0,"",,8
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Hammer Curl (Cable)",2,40.0,13,0,0,,,8.5
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Hammer Curl (Cable)",3,40.0,13,0,0,,,8.5
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Hammer Curl (Cable)",4,40.0,14,0,0,,,10
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Chin Up",1,0,8,0,0,"",,
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Chin Up",2,0,7,0,0,,,
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Chin Up",3,0,6,0,0,,,
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Chin Up",4,0,6,0,0,,,
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Zotterman Curls",1,15.0,14,0,0,"",,8
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Zotterman Curls",2,15.0,14,0,0,,,8.5
2024-06-06 10:03:02,"Back / Bis (V1)",1h 17m,"Zotterman Curls",3,15.0,14,0,0,,,9
2024-06-07 10:22:11,"Legs (V1)",1h,"Deadlift (Barbell)",1,115.0,10,0,0,"","",8
2024-06-07 10:22:11,"Legs (V1)",1h,"Deadlift (Barbell)",2,115.0,10,0,0,,,8
2024-06-07 10:22:11,"Legs (V1)",1h,"Deadlift (Barbell)",3,115.0,10,0,0,,,8.5
2024-06-07 10:22:11,"Legs (V1)",1h,"Deadlift (Barbell)",4,115.0,12,0,0,,,8.5
2024-06-07 10:22:11,"Legs (V1)",1h,"Bulgarian Split Squat",1,30.0,15,0,0,"",,8
2024-06-07 10:22:11,"Legs (V1)",1h,"Bulgarian Split Squat",2,30.0,15,0,0,,,8.5
2024-06-07 10:22:11,"Legs (V1)",1h,"Bulgarian Split Squat",3,30.0,16,0,0,,,9
2024-06-07 10:22:11,"Legs (V1)",1h,"Bulgarian Split Squat",4,30.0,15,0,0,,,10
2024-06-07 10:22:11,"Legs (V1)",1h,"Standing Calf Raise (Dumbbell)",1,74.99999999999999,16,0,0,"",,7.5
2024-06-07 10:22:11,"Legs (V1)",1h,"Standing Calf Raise (Dumbbell)",2,74.99999999999999,16,0,0,,,7.5
2024-06-07 10:22:11,"Legs (V1)",1h,"Standing Calf Raise (Dumbbell)",3,74.99999999999999,18,0,0,,,8
2024-06-07 10:22:11,"Legs (V1)",1h,"Standing Calf Raise (Dumbbell)",4,74.99999999999999,18,0,0,,,9
2024-06-07 10:22:11,"Legs (V1)",1h,"Cable Pull Through",1,40.0,14,0,0,"",,8
2024-06-07 10:22:11,"Legs (V1)",1h,"Cable Pull Through",2,40.0,14,0,0,,,8
2024-06-07 10:22:11,"Legs (V1)",1h,"Cable Pull Through",3,40.0,14,0,0,,,8
2024-06-07 10:22:11,"Legs (V1)",1h,"Cable Pull Through",4,40.0,16,0,0,,,8.5
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Strict Military Press (Barbell)",1,74.99999999999999,15,0,0,"","",7.5
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Strict Military Press (Barbell)",2,74.99999999999999,15,0,0,,,8
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Strict Military Press (Barbell)",3,85.0,10,0,0,,,8.5
2024-06-08 10:03:35,"Shoulders (V1)",1h 9m,"Strict Military Press (Barbell)",4,85.0,10,0,0,,,9
